col1	col2
LSM1	PSMB5
RANBP9	S100A7
TRAIP	FLII
CSTF2	SUB1
CSTF1	BARD1
CSTF1	BARD1
XRCC2	RAD51D
MSC	ID2
ID2	TCF12
TCF4	ID2
PEX12	PEX5
PEX12	PEX5
PEX13	PEX5
ARFIP2	ARF6
NCBP2	NCBP1
PMF1	NFE2L2
EIF2AK3	NFE2L2
LSM8	IGHMBP2
DLG4	KCNJ4
NCK1	EPHB1
MINK1	NCK1
RECQL	KPNA4
RECQL	KPNA2
ERBB4	DLG4
ERBB4	YAP1
ERBB4	DLG2
PIAS1	STAT1
MAPKAPK2	SHC1
S100P	S100P
DLG4	KCNJ2
LY9	AP2M1
PPP1R9B	TIAM1
PTBP1	HNRNPL
IFI35	NMI
SYN2	SYN2
PSEN2	KCNIP3
TTF1	PTRF
CDKN1B	NUP50
LIMK1	BMPR2
FXR1	CYFIP2
INPPL1	SORBS1
NCOR2	SPEN
NCOR2	ZBTB16
CDKN1C	LIMK1
UGCG	RTN1
SERPINH1	UBQLN4
NEUROD1	HAP1
HAP1	DCTN1
HAP1	HGS
COPB1	COPG1
COPB1	COPG2
MYO6	DAB2
MYO6	DAB2
DCP1A	SMAD4
BPTF	MAZ
F11R	TJP1
ADAM17	DLG1
DHDDS	NPC2
ARHGEF11	PLXNB1
BOK	BCL2A1
BCL2A1	BAD
LSM6	SNRPD2
LSM7	SNRPD3
LSM3	SNRPD3
LSM8	SNRPD1
PDZK1	ABCC2
CADM1	MPP3
MPP6	THOP1
DUSP10	MAPK8
CSPG4	GRIP2
RAN	RANBP1
CDC6	ORC2
ORC2	DBF4
CDC45	ORC2
TGFB1I1	PTK2B
TGFB1I1	PTK2B
UBQLN1	MTOR
ITGA3	BIN1
BIN1	SNX4
YWHAZ	BCAR1
BMPR1A	SF3B4
PKD1	RGS7
HNRNPD	LSM5
HECW1	DVL1
VPS37A	TSG101
KAT5	ETV6
MYBL2	ZNF622
CACYBP	SKP1
MAD2L1	ESR2
PPARG	NCOA4
BAG1	HSPA8
PPP1R15A	BAG1
GRB10	GIGYF2
PROX1	EP300
ATXN1	UBQLN4
ATXN1	ANP32A
ATXN1	USP7
EZH2	EED
KHDRBS1	RAPSN
CITED2	TFAP2C
RIT1	RALGDS
MRAS	RALGDS
PGR	UBE3A
RAD23A	PSMD4
RAD23B	PSMD4
LSM8	GTF2I
THRB	PSMC5
TRAIP	TRAF1
HIVEP3	TRAF1
XRN1	SMARCD2
RNF7	CUL5
TRIM28	SETDB1
PEX7	PHYH
PEX12	PEX10
PEX12	PEX10
SP3	STK19
MCM6	MCM6
RFXAP	RFX5
HIVEP3	TRAF2
TRAIP	TRAF2
ORC1	CDC7
BCL2L2	BCL2L11
STAP2	PTK6
EXOSC6	PSMB1
DCP2	PSMB1
IL16	PPP1R12A
RING1	CBX4
DOCK8	RAC1
RAC1	RAP1GDS1
RAC1	ARFIP2
RAC2	CUL1
LSM8	TALDO1
TRPV1	SYT9
TACC1	YEATS4
PRMT5	CLNS1A
SIAH1	KIF22
PEG10	SIAH1
SIAH1	CACYBP
PEG10	SIAH2
ATXN7	CRX
NEDD4	UBE2D2
TTF2	DRAP1
ILK	ILKAP
ILK	LIMS1
DNM2	SHANK1
DNM2	SHANK2
BLMH	UBE2I
PPP2R5D	HAND2
HAND2	COPS5
CFTR	GOPC
SLBP	ERI1
SCAMP1	ITSN1
IPCEF1	CYTH2
NRIP1	NR0B1
HEXIM1	CCNT1
RGS4	COPB2
MAP3K3	MAP2K5
SNAP23	SNAPIN
NPAS4	ARNTL
RANBP3	XPO1
GOLGA2	GORASP2
MAGOH	RBM8A
ASIC3	MAGI1
IL1RAP	TOLLIP
FHL2	SFPQ
PPP1R8	EED
UPF2	EIF4A1
PDE6D	RND1
ARHGAP5	RND3
HNRNPAB	TP63
NR1H4	NCOA1
MCM3	MCM5
MCM3	CDC45
MCM3	DBF4
MCM3	ORC5
MCM3	ORC4
MCM5	CDC7
EP300	CITED2
EP300	CITED2
APBA2	CLSTN1
FYB	SKAP1
PRKAB1	PRKAG1
PRKAB1	PRKAG2
PRKAB2	PRKAG1
PRKAB2	PRKAG2
PRKAG1	PRKAG2
RGPD5	TNPO1
DNMT3A	UBE2I
THRB	BRD8
RNF4	PATZ1
TTF2	CDC5L
PPL	KAZN
SAFB	SAFB2
MAPK8IP3	MAPK10
MAPK10	MAPK8IP3
MAPK11	HDAC3
PIAS4	SMAD7
TRIP6	LPAR2
LHX2	CITED2
E2F6	RYBP
POLE2	SAP18
BTG1	PRMT1
BTG1	PRMT1
RNF216	TLR3
RNF216	TLR4
RNF216	TLR5
ENAH	ABI1
SLC31A1	SLC31A1
SRSF7	DUSP11
DUSP11	SRSF9
NEDD9	SMAD3
RNF7	CUL1
SRRM2	PNN
MCL1	BAD
DAXX	MCRS1
MVD	BTAF1
FANCA	SMARCA4
XRN1	CHD4
ARHGEF7	SHANK2
FNBP1	TNKS
BIRC5	AURKB
TNFRSF25	TRADD
XRN1	PABPC4
ITGA3	RABIF
RIPK3	RIPK1
LSM7	MYH13
MALT1	BCL10
C9orf89	BCL10
AP1S1	AP1G2
AP1S1	AP1G1
AP1S2	AP1G1
AP1S2	AP1G2
XRN1	AP1G2
VAMP4	AP1M1
MBD2	GPN1
MBD3L1	MBD3
TOP3B	CHD8
RABEP1	HUNK
UBOX5	UBE2L3
HIC1	HIC1
PDZK1	SLC22A4
PDZK1	AKAP10
PDZK1IP1	PDZK1
PDZK1IP1	PDZK1
PDZK1	SLC22A12
DNM1L	GSK3B
HEXIM1	CCNT2
RNF7	CUL4A
RNF7	CUL2
RAB27A	SYTL4
BYSL	TROAP
RGS6	DMAP1
ZNF174	ZNF174
MPP6	EIF3G
TACC3	AKAP9
FNBP1	AKAP9
DIS3	ZBTB17
PLCB2	TRPM7
PKP4	ERBB2IP
ARHGEF11	PLXNB2
RND1	PLXNB2
LSM1	GRHPR
COPG1	COPG2
VPS37C	HGS
GNA13	AKAP3
GRAP2	GAB1
GRAP2	CCNDBP1
ANAPC5	PABPC1
ITGAE	EED
TOM1	TOLLIP
TTF2	TNIP1
TTF2	DCP1A
TTF2	PDCD6IP
TTF2	PRDX4
TTF2	CLPB
TTF2	TACC3
STK16	NAGK
NCKAP1	ABI1
GADD45G	GADD45GIP1
PACSIN2	PACSIN3
UNC13B	SPTBN2
KCNJ1	SLC9A3R1
ARHGEF7	SHANK1
UPF3A	GSK3B
NBL1	UBQLN1
UBQLN1	P4HB
TARBP2	TARBP2
EEA1	RAB22A
URI1	DMAP1
CNKSR1	RASSF1
PARP4	MVP
PARP4	MVP
FHL5	FHL5
EED	HDAC2
DISC1	FEZ1
MCL1	BOK
SNX9	ADAM15
RNF216	TLR9
RAB11FIP4	RAB11A
UPF3A	IFITM2
TRIM10	TRIM10
RHOQ	GOPC
RHOQ	EXOC7
PBLD	STRAP
XRN2	TOLLIP
ABI3	ABI3BP
PINX1	MCRS1
PRDX4	PRDX4
PACSIN1	PACSIN3
PACSIN1	PACSIN1
TXNIP	ZBTB32
CSPG5	GOPC
ASIC3	GOPC
ZMYND8	FHOD1
HSH2D	TNK2
IPO13	PAX6
PLCB1	TRPM7
OSTM1	RGS17
OSTM1	RGS20
ORC6	CDC7
AP4E1	AP4B1
CENPK	SOX6
LSM1	VPS11
LSM1	EXOSC8
LSM1	EXOSC6
LSM1	N4BP1
LSM1	LSM2
LSM2	LSM8
LSM2	LSM3
LSM2	LSM7
LSM3	LSM7
LSM3	XRN2
LSM3	LSM10
LSM4	XRN1
LSM6	MCRS1
LSM6	POLD2
LSM7	EXOSC8
LSM7	RAB29
LSM7	EXOSC6
LSM8	COL23A1
LSM8	DBF4
LSM8	KCTD3
LSM8	EXOSC6
LSM8	DCP1A
LSM8	THUMPD3
AIRE	AIRE
ECT2	PARD6A
LRPPRC	MAP1S
LRPPRC	CECR2
LRPPRC	HEBP2
HSPB8	HSPB1
XRN1	CCT5
THEG	CCT5
PPFIA1	GIT1
SYNCRIP	PTPN11
RARA	NRBF2
RARA	ZBTB16
MECR	RARA
UFD1L	NPLOC4
TRIB3	ATF4
NPAS4	ARNT2
PARN	SPATC1L
EXOSC5	SFPQ
THRB	NCOA2
NRBF2	THRB
GFI1	PIAS3
NEDD9	ITCH
TGS1	EED
DHDDS	ND1
MYCBP	MYCBPAP
LOXL1	FBLN5
MT2A	PRKD1
PRKG1	NPR1
SRC	ND2
RNF11	EPS15
KCNJ1	SLC9A3R2
KCNG2	KCNB1
DIO2	USP33
UBE2I	CHD3
TOPORS	UBE2I
PER1	CRY1
PER2	CRY1
ARNTL	CRY1
THAP1	PAWR
SERBP1	CHD3
HSF1	SYMPK
DTNB	KIF5A
MCM4	CDC7
GNB2L1	NSMAF
RBBP8	LMO4
CCNE1	CUL3
FKBP2	EPB41L2
GRIA1	EPB41L2
PDZD2	CTNND2
GNG5	GNB5
GNG4	GNB5
GNG3	GNB5
GNB5	GNG7
ARL6	ARL6IP5
PIKFYVE	RABEPK
ARF3	GGA2
SORT1	GGA2
EXOSC6	EXOSC8
EXOSC6	EXOSC7
ZNF496	NSD1
MPP6	ARHGAP18
MPP6	KNSTRN
MPP6	EXOSC10
MPP6	SNX9
MPP6	SKIV2L2
MPP6	AATF
PUM2	PUM2
PUM2	NANOS1
ARL6	ARL6IP4
ARL6	ARL6IP1
POLR1C	POLR1D
DNAJA3	RNF34
SYNE1	SYNE1
ING4	RELA
COPG1	COPZ1
COPG1	COPZ2
LRRC7	CNKSR2
EXOC8	EXOC2
ASIC3	LIN7B
TCP10L	MXD4
RND1	UBXN11
EXOSC6	DNAJC30
DXO	XRN2
UPF2	XRN2
ZHX1	ZHX3
MAPKAPK2	PHC2
CDC7	DBF4
ARPC5	ARPC4
CDC7	DBF4
ZHX1	ZHX1
MYPN	NEBL
NIF3L1	THOC7
GGA3	TSG101
PHACTR3	PPP1CA
ARL6	ATL2
ARL6	ARL6IP6
ARID1B	SMARCA4
PRPF6	TXNL4B
PPFIA1	ERC2
ERC2	PPFIA4
EVL	DNMBP
VPS37A	VPS28
PKD2L1	TNNI3
TNNI3K	TNNI3
ECT2	KLHL20
TAF13	TAF10
EXOSC6	EXOSC1
CDK14	SEPT8
TLK1	ASF1A
TLK1	ASF1B
ANKRD23	MYPN
GOLGA7	GOLGA3
CDHR2	MAST2
SMAD2	Rasd2
SMAD2	Rab34
SMAD2	Rhebl1
SMAD2	Rab38
SMAD2	Rhobtb1
SMAD2	Arhgef7
SMAD2	Rps27a
SMAD2	Fbxo3
SMAD2	Sqstm1
SMAD2	Ppp2r2d
SMAD2	Map2k3
SMAD2	Nuak2
SMAD2	Uhmk1
SMAD2	Arhgef6
SMAD2	Rgs3
SMAD2	Lhx9
SMAD2	Trim35
SMAD2	Wwp2
SMAD2	Rhoj
SMAD2	Rhod
SMAD2	Arl4d
SMAD2	Arhgef1
SMAD2	Cdc40
SMAD2	Irak2
SMAD2	Lmo2
SMAD2	Smad2
SMAD2	Smad3
SMAD3	Rras2
SMAD3	Arhgef7
SMAD3	Ppp2r2d
SMAD3	Wwp2
SMAD3	Rasd2
SMAD3	Rab38
SMAD3	Fbxo3
SMAD3	Sqstm1
SMAD3	Map2k3
SMAD3	Wee1
SMAD3	Arhgef6
SMAD3	Rgs3
SMAD3	Trim35
SMAD3	Clasrp
SMAD3	Smad2
SMAD3	Smad3
SMAD3	Gsc
SMAD4	Rhog
SMAD4	Rasd2
SMAD4	Rab13
SMAD4	Rhoj
SMAD4	Rab2b
SMAD4	Rhod
SMAD4	Rac2
SMAD4	Nras
SMAD4	Rab3b
SMAD4	Rab38
SMAD4	Rras2
SMAD4	Arfrp1
SMAD4	Arl5b
SMAD4	Arhgef11
SMAD4	Arhgef7
SMAD4	Sqstm1
SMAD4	Nek6
SMAD4	Stk35
SMAD4	Ripk2
SMAD4	Map2k3
SMAD4	Chek1
SMAD4	Eif2ak4
SMAD4	Nuak2
SMAD4	Tssk3
SMAD4	Pbk
SMAD4	Uhmk1
SMAD4	Plk4
SMAD4	Ilkap
SMAD4	Trim35
SMAD4	Rnf14
SMAD4	Rnf138
SMAD4	Smad1
SMAD4	Smad3
SMAD4	Stat1
SMAD4	Ocln
SMAD4	Hdgf
SMAD4	Rab34
SMAD4	Ubb
SMAD4	Rps27a
SMAD4	Itk
SMAD4	Ap2b1
SMAD4	Rsph14
SMAD4	Smad2
SMAD4	Apbb2
SMAD7	Wwp2
TGFBR1	Nkiras1
TGFBR1	Rasd2
TGFBR1	Rab13
TGFBR1	Rab33b
TGFBR1	Rhebl1
TGFBR1	Rab6b
TGFBR1	Rhod
TGFBR1	Rab3b
TGFBR1	Rab38
TGFBR1	Rhobtb1
TGFBR1	Arl4d
TGFBR1	Git2
TGFBR1	Gna13
TGFBR1	Arhgap31
TGFBR1	Chn2
TGFBR1	Bcr
TGFBR1	Chn1
TGFBR1	Fbxl12
TGFBR1	Atg16l1
TGFBR1	Prpf4
TGFBR1	Cdc20
TGFBR1	Katnb1
TGFBR1	Nup37
TGFBR1	Gnb3
TGFBR1	Wsb1
TGFBR1	Preb
TGFBR1	Wdr13
TGFBR1	Wdr61
TGFBR1	Gnb2
TGFBR1	Fbxw5
TGFBR1	Csnk2a2
TGFBR1	Cdkl1
TGFBR1	Nek6
TGFBR1	Stk35
TGFBR1	Tssk5
TGFBR1	Mknk2
TGFBR1	Aurkb
TGFBR1	Map2k3
TGFBR1	Ikbkb
TGFBR1	Cdk4
TGFBR1	Eif2ak4
TGFBR1	Dapk2
TGFBR1	Csnk1d
TGFBR1	Nuak2
TGFBR1	Tssk3
TGFBR1	Fancl
TGFBR1	Uhmk1
TGFBR1	Nek8
TGFBR1	Csnk1a1
TGFBR1	Eif2ak1
TGFBR1	Cdk14
TGFBR1	Cdk17
TGFBR1	Chuk
TGFBR1	Cdk6
TGFBR1	Tgfbr1
TGFBR1	Bmpr2
TGFBR1	Stub1
TGFBR1	Ttc1
TGFBR1	Enc1
TGFBR1	Btbd2
TGFBR1	Klhl1
TGFBR1	Skap2
TGFBR1	Itk
TGFBR1	Sntg1
TGFBR1	Plek
TGFBR1	Plekhb1
TGFBR1	Arhgap15
TGFBR1	Arhgef6
TGFBR1	Pard6a
TGFBR1	Dusp10
TGFBR1	Dusp6
TGFBR1	Ilkap
TGFBR1	Ppp3cc
TGFBR1	Ppp1ca
TGFBR1	Ppp6c
TGFBR1	Rnf130
TGFBR1	Rnf138
TGFBR1	Noxo1
TGFBR1	Naa20
TGFBR1	Samd8
TGFBR1	Fkbp1b
TGFBR1	Fkbp1a
TGFBR1	Irf7
TGFBR1	Efna1
TGFBR1	Rhpn2
TGFBR1	Rtkn
TGFBR1	Cdc42ep4
TGFBR1	Stx8
TGFBR1	Rgs19
TGFBR1	Rrh
TGFBR1	Ocln
TGFBR1	Rhoa
TGFBR1	Rhoh
TGFBR1	Rhoj
TGFBR1	Rab34
TGFBR1	Ubb
TGFBR1	Rps27a
TGFBR1	Ubd
TGFBR1	Usp45
TGFBR1	Usp21
TGFBR1	Ube2e3
TGFBR1	Fbxo3
TGFBR1	Fbxo34
TGFBR1	Fbxo24
TGFBR1	Cul5
TGFBR1	Anapc5
TGFBR1	Wwp2
TGFBR1	Smad7
TGFBR1	Stat1
ACVR1	Rab17
ACVR1	Rhoj
ACVR1	Rab33b
ACVR1	Rhod
ACVR1	Nras
ACVR1	Rab3b
ACVR1	Rras2
ACVR1	Chn1
ACVR1	Rps27a
ACVR1	Sqstm1
ACVR1	Tgfbr1
ACVR1	Plek
ACVR1	Plekhb1
ACVR1	Ajuba
ACVR1	Fkbp4
ACVR1	Nkiras1
ACVR1	Rasd2
ACVR1	Rab6b
ACVR1	Rhobtb1
ACVR1	Usp39
ACVR1	Usp21
ACVR1	Ube2e3
ACVR1	Ube2r2
ACVR1	Fbxo3
ACVR1	Wdr61
ACVR1	Ikbkb
ACVR1	Nuak2
ACVR1	Fancl
ACVR1	Uhmk1
ACVR1	Cdk14
ACVR1	Fgd6
ACVR1	Ilkap
ACVR1	Naa20
ACVR1	Ap2b1
ACVR1	Stat1
ACVR1	Stx8
ACVR1	Rhebl1
BMPR1B	Nkiras1
BMPR1B	Rhebl1
BMPR1B	Rhod
BMPR1B	Rab6b
BMPR1B	Rab38
BMPR1B	Rhobtb1
BMPR1B	Rps27a
BMPR1B	Fbxo3
BMPR1B	Sqstm1
BMPR1B	Dcaf7
BMPR1B	Mknk2
BMPR1B	Map2k3
BMPR1B	Fancl
BMPR1B	Tgfbr1
BMPR1B	Lztr1
BMPR1B	Plekhb1
BMPR1B	Fkbp1b
BMPR1B	Fkbp1a
BMPR1B	Irf7
BMPR1B	Rhoj
BMPR1B	Rras2
BMPR1B	Fbxo34
BMPR1B	Stk35
BMPR1B	Cdk14
BMPR1B	Ilkap
BMPR1B	Ppp3cc
BMPR1B	Srgap1
BMPR1B	Naa20
BMPR1B	Rasd2
BMPR1B	Bcr
BMPR1B	Chn1
BMPR1B	1700006A11Rik
BMPR1B	Usp45
BMPR1B	Atg16l1
BMPR1B	Fbxw5
BMPR1B	Cdk4
BMPR1B	Uhmk1
BMPR1B	Bmpr2
BMPR1B	Stub1
BMPR1B	Klhl1
BMPR1B	Arhgef6
BMPR1B	Ppp2ca
BMPR1B	Sh3kbp1
BMPR1B	Smad6
BMPR1B	Smad7
SMURF1	Rhobtb1
SMURF1	Arl4d
SMURF1	Gng11
SMURF1	Rgl3
SMURF1	Arhgef1
SMURF1	Arhgef11
SMURF1	Ubb
SMURF1	Rps27a
SMURF1	Usp45
SMURF1	Fbxo24
SMURF1	Sqstm1
SMURF1	Tbl2
